# Material Designer imported-tree preservation inventory
# Generated from the committed index, pinned upstream manifest, MODIFICATIONS.md, and Git history.
# kind	path	local-mode	local-oid	upstream-mode	upstream-oid	owner-commit
oid-different	packages/sidecar/package.json	100644	6e052702fff9f21d1ec43fb068fa9a467f328660	100644	ec8d4e7a7fcfd183c2af8e336582bc3dddea28a8	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	plugins/_official/examples/ib-pitch-book/example.html	100644	caf89ced2be526895f2a2b004986fd08d0f4a657	100644	25b06baa3ce9a3445547a0c4c9b9f3b5c3e3d62e	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	specs/current/ci.md	100644	5c3a19bf05771ae583a38168d679a155bb4c020e	100644	96f31a9d12def47009a6ff1d746295452846dfe6	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	tools/dev/package.json	100644	747e56595f31e7118601c608881c3d862a5aaca2	100644	9479391280ce317226ebceace5d0a0e96f127c93	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	tools/pack/package.json	100644	cd51cf0c20b5a02488f08576df747474b420c33f	100644	9687b843585d54c49ebd151c86c0abe11dadc3d4	98e43e560e57f992c088c85beb013d38d1762ca7
extra	tools/pack/src/cache.ts	100644	1f2eaf3ad3eb5c2484f188c1a822b499ccabbf18	-	-	ee3043e7ff6c71c95ae807eb1e120b378fd14db2
oid-different	tools/pack/src/config/index.ts	100644	a0be752f185b472e9f211f211106d64ad41ee967	100644	b429b3c04f8d87464223d9bd2c343582643e4dac	2a7f287bf5073c50fe481717d7942e8632460b5e
extra	tools/pack/src/launcher-runtime-snapshot.ts	100644	f0b1877f8c49a081d9dab5ccc3f15acddd642d96	-	-	ee3043e7ff6c71c95ae807eb1e120b378fd14db2
extra	tools/pack/src/lock.ts	100644	9819658455ba8a813eb5cc8b80f9f1fd25193a54	-	-	8b962061685f6a9698659c1d1bf1a387aab56e89
extra	tools/pack/src/mac-prebundle.ts	100644	37a7affa9ace03fedad4906ee1dda16011b8c691	-	-	ee3043e7ff6c71c95ae807eb1e120b378fd14db2
extra	tools/pack/src/resources.ts	100644	5730835942a62416d869cf6f2f768fad98ddc8f2	-	-	ee3043e7ff6c71c95ae807eb1e120b378fd14db2
extra	tools/pack/src/update-cache-lifecycle-snapshot.ts	100644	b09664da60f74c7d442d0e36fc79ca005210a2b9	-	-	ee3043e7ff6c71c95ae807eb1e120b378fd14db2
extra	tools/pack/src/versions.ts	100644	e68fa366db4bd96318f65a1428f8f5eff4f1f604	-	-	ee3043e7ff6c71c95ae807eb1e120b378fd14db2
extra	tools/pack/src/win-prebundle.ts	100644	3a2bfa8e92ed5b15ce4fe6481864e24a43160bf9	-	-	ee3043e7ff6c71c95ae807eb1e120b378fd14db2
oid-different	tools/pack/tests/mac-paths.test.ts	100644	5ad2d53d2cec6836202f9365f909800ad379a087	100644	f6f9b7e1741c6227a4bcaa2f6fb0974bb2dc23df	5ef73934884da860b6f53bcd7cd495977b7e1f6a
